1;Accurate;Wildlander;Each time you perform an attack with a Bow, you may reroll 1 power die (limit once per attack).
2;Nimble;Wildlander;"Each time a monster moves into a space adjacent to you, you may use this card to move 1 space; then the monster may continue its activation."
10;Brute;Berserker;You gain +4 Health.<br /><br />Whenever you stand up or are revived by another hero, you recover 2 additional <span class='glyphicon glyphicon-heart' aria-hidden='true'></span>.
11;Raise Dead;Necromancer;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Place your Reanimate familiar token in an empty space adjacent to you.<br /><br />You may only control 1 Reanimate at a time.<br />You may discard your Reanimate token at any time during your turn.
13;Runic Knowledge;Runemaster;While you have a Magic or Rune weapon equipped, each of your attacks gains:<br :><br /><span class='glyphicon glyphicon-flash' aria-hidden='true'></span>: Suffer 1 Fatigue to gain +2 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span>
14;Prayer of Healing;Disciple;Exhaust this card during your turn and choose yourself or an adjacent hero. Roll 1 red power die. The chosen hero recovers <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> equal to the <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> rolled.
15;Armor of Faith;Disciple;Each time you use Prayer of Healing on a hero, that hero adds 1 additional brown die to his defense pool until the start of your next turn.<br /><br />Place a hero token belonging to that hero on this card as a reminder.
16;Blessed Strike;Disciple;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Perform an attack with a Melee weapon. if you deal at least 1 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> (after rolling defense dice), you and 1 hero of your choice recover 2 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span>.
17;Cleansing Touch;Disciple;Each time you use Prayer of Healing on a hero, that hero may also discard 1 of his Condition cards.
18;Divine Fury;Disciple;Each time you use your Prayer of Healing on a hero, that hero adds 1 additional yellow power die to his attack pool on his next attack this round.<br /><br />Place a hero token belonging to that hero on this card as a reminder.
19;Prayer of Peace;Disciple;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Exhaust this card.<br />While this card is exhausted, monsters cannot perform and attack while adjacent to you.
20;Time of Need;Disciple;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: You receive 2 movement points and recover 2 Fatigue.
21;Holy Power;Disciple;Your Prayer of Healing may now affect 2 different heroes. If you roll a <span class='glyphicon glyphicon-flash' aria-hidden='true'></span> on the red power die when using Prayer of Healing, both heroes recover 1 Fatigue.
22;Radiant Light;Disciple;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Roll 1 red power die.<br />Each hero in your line of sight (including yourself) recovers the amount of <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> rolled. Each monster in your line of sight suffers the amount of <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> rolled.
25;Danger Sense;Wildlander;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Exhaust this card to force the overlord to discard 1 Overlord card from his hand at random.
26;Eagle Eyes;Wildlander;When you perform an attack with a Bow, friendly figures do not block your line of sight.
27;Bow Mastery;Wildlander;When you attack with a Bow, you may exhaust this card to add 1 <span class='glyphicon glyphicon-flash' aria-hidden='true'></span> to the results.
28;First Strike;Wildlander;During the overlord's turn, immediately after he chooses a monster to active, you may exhaust this card to perform an attack targeting that monster with a Bow. After this attack is resolved, if the monster was not defeated, it may continue its activation.
29;Fleet of Foot;Wildlander;Each time you suffer 1 Fatigue to gain 1 movement point, you instead receive 2 movement points.<br /><br />Each time you use Nimble, you may move 2 spaces instead of 1.
30;Black Arrow;Wildlander;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Perform an attack with a Bow. This attack gains +2 range.<br /><br />If you deal less than 3 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> (after rolling defense dice), deal 3 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> instead (unless this attack misses).
31;Running Shot;Wildlander;Each time you perform an attack with a Bow, you receive 2 movement points before or after the attack.<br /><br />If you have Heavy Armor equipped, you receive only 1 movement point before of after the attack.
32;Counter Attack;Berserker;After an adjacent monster resolves an attack that affects you, exhaust this card to perform an attack with a Melee against the attacking monster. After this attack is resolved, if the monster was not defeated, it may continue its activation.
33;Rage;Berserker;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Perform an attack with a Melee weapon.<br /> This attack gains +1 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span>.
35;Cripple;Berserker;Exhaust this card during your turn to choose a monster adjacent to you and test Might. If you pass, the monster is Immobilized.
36;Charge;Berserker;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Move up to your Speed and then perform an attack with a Melee weapon.
37;Weapon Mastery;Berserker;Each time you perform an attack with either 1 Melee weapon with 2 hand icons or 2 Melee weapons with 1 hand icon each, you may exhaust this card to add 1 <span class='glyphicon glyphicon-flash' aria-hidden='true'></span> to the results.
38;Whirlwind;Berserker;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Perform an attack with a Melee weapon targeting all adjacent monsters. You make 1 attack roll and each monster rolls its defense dice separately.
39;Death Rage;Berserker;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Perform an attack with a Melee weapon.<br />This attack gains:<br /><br /><span class='glyphicon glyphicon-flash' aria-hidden='true'></span>: +1 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> for every 2 <span class='glyphicon glyphicon-heart' aria-hidden='true'></span> on your Hero sheet
40;Execute;Berserker;When performing an attack with a Melee weapon, after the dice are rolled, exhaust this card to gain +X <span class='glyphicon glyphicon-heart' aria-hidden='true'></span>, where X is the amount of Fatigue suffered to use this skill.
43;Corpse Blast;Necromancer;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Perform an attack targeting your Reanimate's space with a Magic weapon. This attack gains Blast. You do not need line of sight to the space. After the attack is resolved, the Reanimate is defeated.
44;Fury of Undeath;Necromancer;<span class='glyphicon glyphicon-share-alt' aria-hidden='true'></span>: Exhaust this card to activate your Reanimate.<br />Your Reanimate still activates this turn as normal.
45;Deathly Haste;Necromancer;Each time you suffer 1 Fatigue to gain 1 movement point, you mayyou may move your Reanimate 1 space.
